Year;Sex;Continent;Count
2004;Male;Africa;21,00
2004;Female;Europe;138,00
2004;Female;Asia;111,00
2004;Female;Oceania;20,00
2004;Female;America;67,00
2004;Female;Africa;10,00
2008;Male;Europe;206,00
2008;Male;Asia;148,00
2008;Male;Oceania;26,00
2008;Male;America;97,00
2008;Male;Africa;23,00
2008;Female;Europe;129,00
2008;Female;Asia;115,00
2008;Female;America;83,00
2008;Female;Africa;17,00
2008;Female;Oceania;20,00
2012;Male;Europe;207,00
2012;Male;Asia;158,00
2012;Male;America;89,00
2012;Male;Africa;24,00
2012;Male;Oceania;22,00
2012;Female;Europe;139,00
2012;Female;Asia;122,00
2012;Female;America;80,00
2012;Female;Oceania;21,00
2012;Female;Africa;15,00
2016;Male;Asia;155,00
2016;Male;Europe;196,00
2016;Male;Oceania;24,00
2016;Male;None;2,00
2016;Male;America;92,00
2016;Male;Africa;24,00
2016;Female;Europe;146,00
2016;Female;Asia;123,00
2016;Female;Oceania;21,00
2016;Female;America;87,00
2016;Female;Africa;18,00
2020;Female;Europe;170,00
2020;Female;Asia;145,00
2020;Female;America;104,00
2020;Female;Africa;17,00
2020;Female;Oceania;25,00
2020;Male;Asia;163,00
2020;Male;Europe;224,00
2020;Male;America;84,00
2020;Male;Africa;18,00
2020;Male;Oceania;32,00
